    Temperature [K]           Resistivity [Ohm m]
-------------------------------------------------------
300		5.44		5.44
400		7.83		7.83
500		10.34		10.35
600		12.98		13.00
700		15.75		15.76
800		18.56		18.61
900		21.47		21.53
1000		24.43		24.51
1200		30.54		30.68
1300		33.68		33.84
1400		36.86		37.06
1500		40.09		40.33
1600		43.36		43.65
1700		46.67		47.01
1800		50.02		50.41
1900		53.41		53.85
2000		56.83		57.33
2200		63.76		64.41
2400		70.81		71.63
2600		77.98		79.00
2800		85.26		86.51
3000		92.66		94.18
3200		100.2		102.0
3400		107.8		110.0
3600		115.6		118.3
