  ---------- Measurements R0 at 360.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03048      -0.03053       -4e-05      0.02471    0.0261    0.00139     -0.03014     1203     1203
-0.03048      -0.03007       0.00042      0.02471    0.02457    -0.00013     -3.11429     1203     1203
-0.03048      -0.02984       0.00064      0.02471    0.02473    2e-05     33.8     1203     1203
-0.03048      -0.03091       -0.00042      0.02471    0.0248    0.0001     -4.44     1203     1203
-0.03048      -0.03075       -0.00027      0.02471    0.02442    -0.00029     0.94667     1203     1203
-0.03048      -0.02999       0.00049      0.02471    0.02404    -0.00067     -0.73714     1203     1203
-0.03048      -0.03091       -0.00042      0.02471    0.02495    0.00025     -1.70769     1203     1203
-0.03048      -0.0306       -0.00012      0.02471    0.0245    -0.00021     0.56364     1203     1203
-0.03048      -0.03014       0.00034      0.02471    0.02473    2e-05     17.8     1203     1203
-0.03048      -0.03007       0.00042      0.02471    0.02503    0.00032     1.28235     1203     1203
-0.03048      -0.03022       0.00026      0.02471    0.02404    -0.00067     -0.39429     1203     1203
-0.03048      -0.03053       -4e-05      0.02471    0.02473    2e-05     -2.2     1203     1203
-0.03048      -0.0303       0.00019      0.02471    0.0245    -0.00021     -0.89091     1203     1203
-0.03048      -0.0303       0.00019      0.02471    0.02465    -6e-05     -3.26667     1203     1203
-0.03048      -0.03091       -0.00042      0.02471    0.02564    0.00093     -0.45306     1203     1203
-0.03048      -0.03075       -0.00027      0.02471    0.02717    0.00246     -0.11008     1203     1203
-0.03048      -0.02999       0.00049      0.02471    0.03419    0.00948     0.05191     1203     1203
-0.03048      -0.03075       -0.00027      0.02471    0.04251    0.0178     -0.01522     1203     1203
-0.03048      -0.02953       0.00095      0.02471    0.05968    0.03497     0.02717     1203     1203
-0.03048      -0.02839       0.00209      0.02471    0.09341    0.0687     0.03049     1203     1203
-0.03048      -0.02679       0.0037      0.02471    0.14377    0.11907     0.03105     1203     1203
-0.03048      0.00488       0.03537      0.02471    0.19933    0.17462     0.20253     1203     1203
-0.03048      0.00656       0.03705      0.02471    0.24962    0.22491     0.16471     1203     1203
-0.03048      0.00748       0.03796      0.02471    0.28861    0.26391     0.14384     1203     1203
-0.03048      0.00862       0.03911      0.02471    0.31563    0.29092     0.13442     1203     1203
-0.03048      0.00885       0.03934      0.02471    0.33509    0.31038     0.12673     1203     1203
-0.03048      0.00946       0.03995      0.02471    0.34768    0.32297     0.12368     1203     1203
-0.03048      0.00962       0.0401      0.02471    0.35562    0.33091     0.12118     1203     1203
-0.03048      0.00962       0.0401      0.02471    0.36172    0.33702     0.11898     1203     1203
-0.03048      0.00977       0.04025      0.02471    0.36508    0.34037     0.11826     1203     1203
-0.03048      0.00962       0.0401      0.02471    0.36767    0.34297     0.11692     1203     1203
-0.03048      0.00984       0.04033      0.02471    0.36989    0.34518     0.11683     1203     1203
-0.03048      0.01007       0.04056      0.02471    0.37118    0.34648     0.11705     1203     1203
-0.03048      0.00969       0.04017      0.02471    0.3721    0.34739     0.11565     1203     1203
-0.03048      0.00992       0.0404      0.02471    0.37202    0.34732     0.11633     1203     1203
-0.03048      0.01       0.04048      0.02471    0.37294    0.34823     0.11624     1203     1203
-0.03048      0.00969       0.04017      0.02471    0.3737    0.349     0.11512     1203     1203
-0.03048      0.01       0.04048      0.02471    0.37324    0.34854     0.11614     1203     1203
-0.03048      0.00977       0.04025      0.02471    0.37363    0.34892     0.11536     1203     1203
-0.03048      0.01       0.04048      0.02471    0.37393    0.34923     0.11591     1203     1203
-0.03048      0.00977       0.04025      0.02471    0.3737    0.349     0.11533     1203     1203
-0.03048      0.00977       0.04025      0.02471    0.37378    0.34907     0.11531     1203     1203
-0.03048      0.00984       0.04033      0.02471    0.37416    0.34945     0.1154     1203     1203
-0.03048      0.00992       0.0404      0.02471    0.37401    0.3493     0.11567     1203     1203
-0.03048      0.00984       0.04033      0.02471    0.37378    0.34907     0.11553     1203     1203
-0.03048      0.00984       0.04033      0.02471    0.37447    0.34976     0.1153     1203     1203
-0.03048      0.00977       0.04025      0.02471    0.37416    0.34945     0.11518     1203     1203
-0.03048      0.00969       0.04017      0.02471    0.37424    0.34953     0.11494     1203     1203
-0.03048      0.01007       0.04056      0.02471    0.37454    0.34984     0.11593     1203     1203
-0.03048      0.01023       0.04071      0.02471    0.37439    0.34968     0.11642     1203     1203
