  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03153      0.2542       0.28573      0.02453    2.5    2.47547     0.11542     1208     1208
-0.03153      0.25382       0.28535      0.02453    2.5    2.47547     0.11527     1208     1208
-0.03153      0.21581       0.24734      0.02453    2.5    2.47547     0.09992     1208     1208
-0.03153      0.03053       0.06206      0.02453    1.23481    1.21028     0.05128     1208     1208
-0.03153      0.0377       0.06923      0.02453    1.44399    1.41945     0.04877     1208     1208
-0.03153      0.05006       0.08159      0.02453    1.93094    1.9064     0.0428     1208     1208
-0.03153      0.05517       0.08671      0.02453    2.13278    2.10825     0.04113     1208     1208
-0.03153      0.05708       0.08861      0.02453    2.21818    2.19364     0.0404     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.25549    2.23096     0.04027     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.27282    2.24828     0.03999     1208     1208
-0.03153      0.05876       0.09029      0.02453    2.27785    2.25332     0.04007     1208     1208
-0.03153      0.05884       0.09037      0.02453    2.27946    2.25492     0.04008     1208     1208
-0.03153      0.05868       0.09022      0.02453    2.27953    2.255     0.04001     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.27869    2.25416     0.03999     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.27885    2.25431     0.03999     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.27755    2.25301     0.03997     1208     1208
-0.03153      0.05868       0.09022      0.02453    2.27663    2.2521     0.04006     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.2748    2.25027     0.04006     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.27549    2.25095     0.03994     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.27411    2.24958     0.04004     1208     1208
-0.03153      0.05899       0.09052      0.02453    2.27328    2.24874     0.04025     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.27419    2.24966     0.04003     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.27297    2.24844     0.03999     1208     1208
-0.03153      0.05868       0.09022      0.02453    2.27274    2.24821     0.04013     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.27289    2.24836     0.04002     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.27297    2.24844     0.03995     1208     1208
-0.03153      0.05868       0.09022      0.02453    2.27274    2.24821     0.04013     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.27251    2.24798     0.04006     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.27152    2.24699     0.04001     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.27129    2.24676     0.04009     1208     1208
-0.03153      0.05868       0.09022      0.02453    2.27053    2.24599     0.04017     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.26976    2.24523     0.04015     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.2706    2.24607     0.04     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.27015    2.24561     0.04     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.27053    2.24599     0.04003     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.27053    2.24599     0.04007     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.2706    2.24607     0.04006     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26954    2.245     0.04012     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.26954    2.245     0.04002     1208     1208
-0.03153      0.05823       0.08976      0.02453    2.26908    2.24454     0.03999     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26969    2.24515     0.04008     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.26931    2.24477     0.04016     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.26908    2.24454     0.04016     1208     1208
-0.03153      0.05868       0.09022      0.02453    2.26938    2.24485     0.04019     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26915    2.24462     0.04009     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26954    2.245     0.04008     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26954    2.245     0.04012     1208     1208
-0.03153      0.05868       0.09022      0.02453    2.26862    2.24409     0.0402     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.26961    2.24508     0.04001     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26984    2.24531     0.04008     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26839    2.24386     0.0401     1208     1208
-0.03153      0.05884       0.09037      0.02453    2.26854    2.24401     0.04027     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.26809    2.24355     0.04008     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26816    2.24363     0.04014     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26923    2.2447     0.04009     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26992    2.24538     0.04011     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26732    2.24279     0.04012     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.26862    2.24409     0.04017     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.26885    2.24431     0.04006     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26763    2.24309     0.04012     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.26755    2.24302     0.04009     1208     1208
-0.03153      0.05876       0.09029      0.02453    2.26862    2.24409     0.04024     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.26854    2.24401     0.04007     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26862    2.24409     0.04013     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26816    2.24363     0.04014     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.26786    2.24332     0.04005     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26816    2.24363     0.04014     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.26877    2.24424     0.04006     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26793    2.2434     0.04015     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26801    2.24348     0.04011     1208     1208
-0.03153      0.05846       0.08999      0.02453    2.26847    2.24393     0.0401     1208     1208
-0.03153      0.05891       0.09045      0.02453    2.26801    2.24348     0.04031     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.26801    2.24348     0.04004     1208     1208
-0.03153      0.05838       0.08991      0.02453    2.26832    2.24378     0.04007     1208     1208
-0.03153      0.05876       0.09029      0.02453    2.2674    2.24286     0.04026     1208     1208
-0.03153      0.05868       0.09022      0.02453    2.26801    2.24348     0.04021     1208     1208
-0.03153      0.05853       0.09006      0.02453    2.26915    2.24462     0.04012     1208     1208
-0.03153      0.0583       0.08984      0.02453    2.26999    2.24546     0.04001     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.26839    2.24386     0.04017     1208     1208
-0.03153      0.05861       0.09014      0.02453    2.26809    2.24355     0.04018     1208     1208
