  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.03228       0.02679
-0.0322       0.02534
-0.03167       0.02457
-0.03197       0.02587
-0.03114       0.02503
-0.03205       0.02564
-0.03205       0.02442
-0.03197       0.02549
-0.03121       0.02518
-0.0322       0.02549
-0.03144       0.02511
-0.0322       0.02465
-0.0322       0.02518
-0.03213       0.02518
-0.03197       0.02534
-0.03197       0.02541
-0.03205       0.02488
-0.03205       0.02511
-0.03197       0.02503
-0.03197       0.02518
  ----------------------------------------------------------
 Vzero = -0.03194       Izero = 0.02524
  ---------------------------------------------------------- 
