  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
0.03701       0.03465
0.0393       0.04335
0.03922       0.03945
0.03915       0.0364
0.03938       0.04121
0.03915       0.0419
0.03938       0.03541
0.03945       0.04052
0.0393       0.04266
0.03968       0.03312
0.03922       0.03716
0.03907       0.0435
0.03907       0.04159
0.03938       0.03617
0.03938       0.04129
0.03915       0.04113
0.03922       0.03648
0.03915       0.04251
0.03922       0.04067
0.0393       0.0364
  ----------------------------------------------------------
 Vzero = 0.03916       Izero = 0.03928
  ---------------------------------------------------------- 
