  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.04792       0.03297
-0.04579       0.03266
-0.0467       0.03274
-0.04625       0.03304
-0.04655       0.03266
-0.04594       0.03281
-0.0464       0.03274
-0.04663       0.03266
-0.04609       0.03274
-0.0464       0.03304
-0.04602       0.03281
-0.04663       0.03297
-0.04647       0.03335
-0.04632       0.0322
-0.04609       0.03327
-0.04655       0.03251
-0.04647       0.03228
-0.04617       0.03251
-0.0464       0.03281
-0.0464       0.03259
  ----------------------------------------------------------
 Vzero = -0.04641       Izero = 0.03277
  ---------------------------------------------------------- 
