  ---------- Measurements R0 at 120.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.04583      -0.04785       -0.00202      0.0243    0.02656    0.00226     -0.89509     1233     1233
-0.04583      -0.04571       0.00012      0.0243    0.02419    -0.00011     -1.06897     1233     1233
-0.04583      -0.04632       -0.00049      0.0243    0.02457    0.00027     -1.8169     1233     1233
-0.04583      -0.04579       4e-05      0.0243    0.02389    -0.00042     -0.10092     1233     1233
-0.04583      -0.04586       -3e-05      0.0243    0.02434    4e-05     -0.81818     1233     1233
-0.04583      -0.0448       0.00103      0.0243    0.0245    0.00019     5.31373     1233     1233
-0.04583      -0.03541       0.01042      0.0243    0.03564    0.01134     0.91922     1233     1233
-0.04583      0.0496       0.09543      0.0243    0.07036    0.04606     2.07199     1233     1233
-0.04583      0.10348       0.14931      0.0243    0.11485    0.09055     1.64894     1233     1233
-0.04583      0.12286       0.16869      0.0243    0.13194    0.10764     1.56715     1233     1233
-0.04583      0.12828       0.17411      0.0243    0.13637    0.11207     1.55361     1233     1233
-0.04583      0.12988       0.17571      0.0243    0.13805    0.11375     1.54477     1233     1233
-0.04583      0.13042       0.17625      0.0243    0.13828    0.11398     1.54635     1233     1233
-0.04583      0.13072       0.17655      0.0243    0.13828    0.11398     1.54903     1233     1233
-0.04583      0.13049       0.17632      0.0243    0.13889    0.11459     1.53878     1233     1233
-0.04583      0.13049       0.17632      0.0243    0.13881    0.11451     1.5398     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13881    0.11451     1.54247     1233     1233
-0.04583      0.13072       0.17655      0.0243    0.13889    0.11459     1.54077     1233     1233
-0.04583      0.13072       0.17655      0.0243    0.13843    0.11413     1.54696     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13866    0.11436     1.54519     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13912    0.11482     1.5397     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13881    0.11451     1.5438     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13866    0.11436     1.54453     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13889    0.11459     1.54211     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13889    0.11459     1.54211     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13843    0.11413     1.54829     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13927    0.11497     1.53632     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13874    0.11443     1.54483     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13889    0.11459     1.54211     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.1379    0.1136     1.55557     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13858    0.11428     1.54689     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13919    0.11489     1.53801     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13889    0.11459     1.54211     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13897    0.11466     1.54041     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13889    0.11459     1.54144     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13897    0.11466     1.54108     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13866    0.11436     1.54653     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13874    0.11443     1.54416     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13897    0.11466     1.54241     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13881    0.11451     1.54447     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13912    0.11482     1.54036     1233     1233
-0.04583      0.13111       0.17693      0.0243    0.13897    0.11466     1.54308     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13912    0.11482     1.53903     1233     1233
-0.04583      0.13065       0.17648      0.0243    0.13851    0.11421     1.54525     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13897    0.11466     1.54175     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13897    0.11466     1.54175     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13881    0.11451     1.5438     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13835    0.11405     1.54933     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13866    0.11436     1.54519     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13866    0.11436     1.54653     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13889    0.11459     1.54344     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13843    0.11413     1.54829     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13935    0.11505     1.53597     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13874    0.11443     1.5435     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13904    0.11474     1.54006     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13919    0.11489     1.53867     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13866    0.11436     1.54519     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13881    0.11451     1.5438     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13919    0.11489     1.53867     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13904    0.11474     1.54139     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13912    0.11482     1.53837     1233     1233
-0.04583      0.13111       0.17693      0.0243    0.13904    0.11474     1.54205     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13935    0.11505     1.53597     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13889    0.11459     1.54277     1233     1233
-0.04583      0.13111       0.17693      0.0243    0.13912    0.11482     1.54103     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13866    0.11436     1.54653     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13889    0.11459     1.54144     1233     1233
-0.04583      0.1308       0.17663      0.0243    0.13927    0.11497     1.53632     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13881    0.11451     1.54313     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13912    0.11482     1.53903     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13858    0.11428     1.54756     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13904    0.11474     1.54072     1233     1233
-0.04583      0.13088       0.17671      0.0243    0.13927    0.11497     1.53699     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13828    0.11398     1.55104     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13874    0.11443     1.54483     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13889    0.11459     1.54344     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13912    0.11482     1.54036     1233     1233
-0.04583      0.13095       0.17678      0.0243    0.13897    0.11466     1.54175     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13942    0.11512     1.53628     1233     1233
-0.04583      0.13103       0.17686      0.0243    0.13866    0.11436     1.54653     1233     1233
-0.04583      0.13111       0.17693      0.0243    0.13889    0.11459     1.5441     1233     1233
-0.04583      0.13133       0.17716      0.0243    0.13881    0.11451     1.54713     1233     1233
