  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03174      -0.26404       -0.2323      0.02641    0.22642    0.20001     -1.16143     518     355
-0.03174      -0.43987       -0.40812      0.02641    0.43994    0.41353     -0.98692     1686     3950
-0.03174      -0.03228       -0.00054      0.02641    0.02801    0.0016     -0.33652     1247     1243
-0.03174      -0.03152       0.00023      0.02641    0.02625    -0.00016     -1.43902     1247     1243
-0.03174      -0.03182       -8e-05      0.02641    0.02694    0.00053     -0.15108     1247     1243
-0.03174      -0.03129       0.00045      0.02641    0.02602    -0.00039     -1.17822     1247     1243
-0.03174      -0.03144       0.0003      0.02641    0.02587    -0.00054     -0.56028     1247     1243
-0.03174      -0.03175       -0.0      0.02641    0.02633    -8e-05     0.04762     1247     1243
-0.03174      -0.03129       0.00045      0.02641    0.0264    -0.0     -119.0     1247     1243
-0.03174      -0.03175       -0.0      0.02641    0.02625    -0.00016     0.02439     1247     1243
-0.03174      -0.03175       -0.0      0.02641    0.02663    0.00023     -0.01695     1247     1243
-0.03174      -0.03152       0.00023      0.02641    0.02633    -8e-05     -2.80952     1247     1243
-0.03174      -0.03205       -0.00031      0.02641    0.0264    -0.0     81.0     1247     1243
-0.03174      -0.03167       7e-05      0.02641    0.02671    0.0003     0.24051     1247     1243
-0.03174      -0.03175       -0.0      0.02641    0.0264    -0.0     1.0     1247     1243
-0.03174      -0.03144       0.0003      0.02641    0.02625    -0.00016     -1.92683     1247     1243
-0.03174      -0.03152       0.00023      0.02641    0.02648    7e-05     3.10526     1247     1243
-0.03174      -0.03175       -0.0      0.02641    0.02648    7e-05     -0.05263     1247     1243
-0.03174      -0.03152       0.00023      0.02641    0.02633    -8e-05     -2.80952     1247     1243
-0.03174      -0.03205       -0.00031      0.02641    0.02656    0.00015     -2.07692     1247     1243
-0.03174      -0.03152       0.00023      0.02641    0.02648    7e-05     3.10526     1247     1243
-0.03174      -0.03159       0.00015      0.02641    0.02595    -0.00046     -0.32231     1247     1243
-0.03174      -0.03182       -8e-05      0.02641    0.02663    0.00023     -0.35593     1247     1243
-0.03174      -0.03167       7e-05      0.02641    0.0261    -0.00031     -0.23457     1247     1243
-0.03174      -0.0319       -0.00016      0.02641    0.02686    0.00045     -0.34454     1247     1243
-0.03174      -0.03152       0.00023      0.02641    0.02625    -0.00016     -1.43902     1247     1243
-0.03174      -0.03159       0.00015      0.02641    0.02625    -0.00016     -0.95122     1247     1243
-0.03174      -0.0319       -0.00016      0.02641    0.02648    7e-05     -2.15789     1247     1243
-0.03174      -0.03159       0.00015      0.02641    0.02633    -8e-05     -1.85714     1247     1243
-0.03174      -0.03197       -0.00023      0.02641    0.02633    -8e-05     2.90476     1247     1243
-0.03174      -0.03152       0.00023      0.02641    0.02625    -0.00016     -1.43902     1247     1243
