  ---------- Measurements R0 at 230.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03211      -0.03426       -0.00215      0.02577    0.02724    0.00147     -1.46114     1253     1250
-0.03211      -0.03197       0.00014      0.02577    0.02564    -0.00013     -1.05882     1253     1250
-0.03211      0.04083       0.07294      0.02577    0.05495    0.02917     2.50013     1253     1250
-0.03211      0.26763       0.29974      0.02577    0.20871    0.18294     1.63843     1253     1250
-0.03211      0.31853       0.35064      0.02577    0.24237    0.2166     1.61886     1253     1250
-0.03211      0.32486       0.35697      0.02577    0.24596    0.22018     1.62125     1253     1250
-0.03211      0.32585       0.35797      0.02577    0.24672    0.22095     1.62014     1253     1250
-0.03211      0.32639       0.3585      0.02577    0.24756    0.22179     1.61642     1253     1250
-0.03211      0.32647       0.35858      0.02577    0.24771    0.22194     1.61565     1253     1250
-0.03211      0.32639       0.3585      0.02577    0.24718    0.22141     1.61921     1253     1250
-0.03211      0.32662       0.35873      0.02577    0.24763    0.22186     1.6169     1253     1250
-0.03211      0.32662       0.35873      0.02577    0.24756    0.22179     1.61745     1253     1250
-0.03211      0.32639       0.3585      0.02577    0.24779    0.22202     1.61475     1253     1250
-0.03211      0.32654       0.35865      0.02577    0.24748    0.22171     1.61766     1253     1250
-0.03211      0.32669       0.35881      0.02577    0.24771    0.22194     1.61668     1253     1250
-0.03211      0.32677       0.35888      0.02577    0.24763    0.22186     1.61758     1253     1250
-0.03211      0.32662       0.35873      0.02577    0.24718    0.22141     1.62024     1253     1250
-0.03211      0.32662       0.35873      0.02577    0.24756    0.22179     1.61745     1253     1250
-0.03211      0.32692       0.35904      0.02577    0.24786    0.22209     1.6166     1253     1250
-0.03211      0.32662       0.35873      0.02577    0.24741    0.22163     1.61857     1253     1250
-0.03211      0.32692       0.35904      0.02577    0.24763    0.22186     1.61827     1253     1250
-0.03211      0.32708       0.35919      0.02577    0.24756    0.22179     1.61952     1253     1250
-0.03211      0.32692       0.35904      0.02577    0.24695    0.22118     1.6233     1253     1250
-0.03211      0.32708       0.35919      0.02577    0.24741    0.22163     1.62063     1253     1250
-0.03211      0.32685       0.35896      0.02577    0.24756    0.22179     1.61848     1253     1250
-0.03211      0.3273       0.35942      0.02577    0.24771    0.22194     1.61943     1253     1250
-0.03211      0.327       0.35911      0.02577    0.24763    0.22186     1.61862     1253     1250
-0.03211      0.327       0.35911      0.02577    0.24725    0.22148     1.6214     1253     1250
-0.03211      0.32708       0.35919      0.02577    0.24794    0.22217     1.61673     1253     1250
-0.03211      0.327       0.35911      0.02577    0.24725    0.22148     1.6214     1253     1250
-0.03211      0.32715       0.35926      0.02577    0.24763    0.22186     1.6193     1253     1250
-0.03211      0.32715       0.35926      0.02577    0.24741    0.22163     1.62098     1253     1250
-0.03211      0.327       0.35911      0.02577    0.24725    0.22148     1.6214     1253     1250
-0.03211      0.32723       0.35934      0.02577    0.24786    0.22209     1.61798     1253     1250
-0.03211      0.32715       0.35926      0.02577    0.24763    0.22186     1.6193     1253     1250
-0.03211      0.32761       0.35972      0.02577    0.24748    0.22171     1.62248     1253     1250
-0.03211      0.3273       0.35942      0.02577    0.24817    0.2224     1.6161     1253     1250
-0.03211      0.32723       0.35934      0.02577    0.24809    0.22232     1.61631     1253     1250
-0.03211      0.32738       0.35949      0.02577    0.24786    0.22209     1.61866     1253     1250
-0.03211      0.3273       0.35942      0.02577    0.24817    0.2224     1.6161     1253     1250
-0.03211      0.32723       0.35934      0.02577    0.24702    0.22125     1.62412     1253     1250
