  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.04838       0.02816
-0.04708       0.02701
-0.04777       0.02679
-0.04716       0.02671
-0.04785       0.02663
-0.04785       0.02663
-0.04777       0.02671
-0.04724       0.02656
-0.04693       0.02663
-0.04739       0.02671
-0.04762       0.02648
-0.0477       0.02648
-0.04731       0.02618
-0.04792       0.02648
-0.04785       0.0264
-0.048       0.02656
-0.04777       0.02625
-0.04785       0.02648
-0.04731       0.02663
-0.04785       0.02701
  ----------------------------------------------------------
 Vzero = -0.04763       Izero = 0.02668
  ---------------------------------------------------------- 
