  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
0.03724       0.04586
0.03991       0.04487
0.03991       0.0448
0.03968       0.04525
0.03984       0.04487
0.03961       0.04518
0.03976       0.0451
0.03961       0.04502
0.03991       0.04548
0.03984       0.04533
0.03961       0.04464
0.03961       0.04548
0.03968       0.0448
0.03968       0.04502
0.03976       0.04472
0.03991       0.04518
0.03976       0.04541
0.03991       0.04518
0.03968       0.0448
0.03991       0.04525
  ----------------------------------------------------------
 Vzero = 0.03964       Izero = 0.04511
  ---------------------------------------------------------- 
