  ---------- Measurements R0 at 50.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.03216      0.02953       -0.00263      0.02393    0.02572    0.00179     -1.47009     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02495    0.00102     0.1194     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02366    -0.00027     0.38889     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02335    -0.00058     -0.07895     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02373    -0.0002     0.15385     1185     1185
0.03216      0.03243       0.00027      0.02393    0.02366    -0.00027     -1.0     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02381    -0.00012     -0.375     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02381    -0.00012     -0.375     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02366    -0.00027     -0.16667     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02389    -5e-05     2.33333     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02381    -0.00012     0.875     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02419    0.00026     -0.70588     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02389    -5e-05     0.66667     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02373    -0.0002     -1.0     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02343    -0.0005     -0.09091     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02442    0.00049     -0.375     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02404    0.00011     0.42857     1185     1185
0.03216      0.0322       5e-05      0.02393    0.0235    -0.00043     -0.10714     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02389    -5e-05     2.33333     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02404    0.00011     1.85714     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02381    -0.00012     0.25     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02396    3e-05     -1.0     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02381    -0.00012     1.5     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02335    -0.00058     -0.34211     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02419    0.00026     -0.41176     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02389    -5e-05     4.0     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02373    -0.0002     0.15385     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02343    -0.0005     0.36364     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02328    -0.00066     0.27907     1185     1185
0.03216      0.03236       0.0002      0.02393    0.0235    -0.00043     -0.46429     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02396    3e-05     4.0     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02373    -0.0002     0.92308     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02396    3e-05     -1.0     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02381    -0.00012     0.875     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02358    -0.00035     -0.13043     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02427    0.00034     -0.09091     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.0235    -0.00043     0.07143     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02366    -0.00027     -0.72222     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02328    -0.00066     -0.30233     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02389    -5e-05     -2.66667     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02434    0.00041     -0.25926     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02389    -5e-05     4.0     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02381    -0.00012     -0.375     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02419    0.00026     0.17647     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02419    0.00026     -0.70588     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02389    -5e-05     -2.66667     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02404    0.00011     0.42857     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.0235    -0.00043     0.42857     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02404    0.00011     -0.28571     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02381    -0.00012     -0.375     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02389    -5e-05     4.0     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02389    -5e-05     4.0     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02419    0.00026     -0.11765     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02396    3e-05     6.5     1185     1185
0.03216      0.03259       0.00043      0.02393    0.0232    -0.00073     -0.58333     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02396    3e-05     4.0     1185     1185
0.03216      0.03243       0.00027      0.02393    0.02427    0.00034     0.81818     1185     1185
0.03216      0.03197       -0.00018      0.02393    0.02381    -0.00012     1.5     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02411    0.00018     0.66667     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02411    0.00018     1.08333     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02381    -0.00012     0.875     1185     1185
0.03216      0.0319       -0.00026      0.02393    0.02427    0.00034     -0.77273     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02358    -0.00035     0.30435     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02419    0.00026     0.47059     1185     1185
0.03216      0.03205       -0.00011      0.02393    0.02373    -0.0002     0.53846     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02396    3e-05     -1.0     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02404    0.00011     0.42857     1185     1185
0.03216      0.0322       5e-05      0.02393    0.02419    0.00026     0.17647     1185     1185
0.03216      0.03213       -3e-05      0.02393    0.02404    0.00011     -0.28571     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02396    3e-05     4.0     1185     1185
0.03216      0.03228       0.00012      0.02393    0.02389    -5e-05     -2.66667     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02488    0.00095     0.20968     1185     1185
0.03216      0.03236       0.0002      0.02393    0.02396    3e-05     6.5     1185     1185
0.03216      0.03251       0.00035      0.02393    0.02419    0.00026     1.35294     1185     1185
0.03216      0.03274       0.00058      0.02393    0.02419    0.00026     2.23529     1185     1185
0.03216      0.03266       0.0005      0.02393    0.02404    0.00011     4.71429     1185     1185
0.03216      0.03274       0.00058      0.02393    0.02503    0.0011     0.52778     1185     1185
0.03216      0.03304       0.00089      0.02393    0.02526    0.00133     0.66667     1185     1185
0.03216      0.03297       0.00081      0.02393    0.02541    0.00148     0.54639     1185     1185
0.03216      0.03312       0.00096      0.02393    0.02541    0.00148     0.64948     1185     1185
0.03216      0.03373       0.00157      0.02393    0.02618    0.00224     0.70068     1185     1185
0.03216      0.03411       0.00195      0.02393    0.02633    0.0024     0.81529     1185     1185
0.03216      0.03419       0.00203      0.02393    0.02694    0.00301     0.67513     1185     1185
0.03216      0.03495       0.00279      0.02393    0.0277    0.00377     0.74089     1185     1185
0.03216      0.03533       0.00317      0.02393    0.02839    0.00446     0.71233     1185     1185
0.03216      0.03571       0.00356      0.02393    0.03114    0.0072     0.49364     1185     1185
0.03216      0.03632       0.00417      0.02393    0.03182    0.00789     0.52805     1185     1185
0.03216      0.03671       0.00455      0.02393    0.03259    0.00865     0.52557     1185     1185
0.03216      0.03762       0.00546      0.02393    0.03327    0.00934     0.58497     1185     1185
0.03216      0.03831       0.00615      0.02393    0.03503    0.0111     0.55433     1185     1185
0.03216      0.03945       0.0073      0.02393    0.03533    0.0114     0.63989     1185     1185
0.03216      0.04029       0.00813      0.02393    0.03755    0.01361     0.59753     1185     1185
0.03216      0.04129       0.00913      0.02393    0.03877    0.01484     0.61523     1185     1185
0.03216      0.04235       0.0102      0.02393    0.03922    0.01529     0.66667     1185     1185
0.03216      0.04327       0.01111      0.02393    0.04167    0.01774     0.62651     1185     1185
0.03216      0.04464       0.01248      0.02393    0.04312    0.01918     0.65076     1185     1185
0.03216      0.04586       0.01371      0.02393    0.04495    0.02102     0.65214     1185     1185
0.03216      0.04678       0.01462      0.02393    0.04678    0.02285     0.63995     1185     1185
0.03216      0.04808       0.01592      0.02393    0.04831    0.02437     0.6531     1185     1185
