  ---------- Measurements R0 at 420.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03042      -0.03281       -0.0024      0.02463    0.02618    0.00155     -1.5468     1203     1203
-0.03042      -0.03007       0.00035      0.02463    0.0245    -0.00013     -2.70588     1203     1203
-0.03042      -0.03068       -0.00026      0.02463    0.02473    0.0001     -2.61538     1203     1203
-0.03042      -0.03007       0.00035      0.02463    0.02442    -0.00021     -1.7037     1203     1203
-0.03042      -0.03091       -0.00049      0.02463    0.02503    0.0004     -1.20755     1203     1203
-0.03042      -0.03053       -0.00011      0.02463    0.0245    -0.00013     0.82353     1203     1203
-0.03042      -0.02999       0.00043      0.02463    0.02434    -0.00028     -1.51351     1203     1203
-0.03042      -0.03083       -0.00041      0.02463    0.0248    0.00018     -2.34783     1203     1203
-0.03042      -0.0303       0.00012      0.02463    0.02411    -0.00051     -0.23881     1203     1203
-0.03042      -0.02991       0.0005      0.02463    0.02442    -0.00021     -2.44444     1203     1203
-0.03042      -0.0303       0.00012      0.02463    0.02488    0.00025     0.48485     1203     1203
-0.03042      -0.0303       0.00012      0.02463    0.0248    0.00018     0.69565     1203     1203
-0.03042      -0.03022       0.0002      0.02463    0.02732    0.00269     0.07365     1203     1203
-0.03042      -0.02991       0.0005      0.02463    0.03358    0.00895     0.05627     1203     1203
-0.03042      -0.02999       0.00043      0.02463    0.04518    0.02055     0.02079     1203     1203
-0.03042      -0.02961       0.00081      0.02463    0.07036    0.04573     0.01769     1203     1203
-0.03042      0.00275       0.03317      0.02463    0.12126    0.09663     0.3432     1203     1203
-0.03042      0.00527       0.03568      0.02463    0.19101    0.16638     0.21447     1203     1203
-0.03042      0.00702       0.03744      0.02463    0.25908    0.23446     0.15968     1203     1203
-0.03042      0.00862       0.03904      0.02463    0.31418    0.28955     0.13483     1203     1203
-0.03042      0.00954       0.03996      0.02463    0.35363    0.32901     0.12145     1203     1203
-0.03042      0.01007       0.04049      0.02463    0.38065    0.35602     0.11373     1203     1203
-0.03042      0.01045       0.04087      0.02463    0.39751    0.37289     0.10961     1203     1203
-0.03042      0.01099       0.04141      0.02463    0.40919    0.38456     0.10767     1203     1203
-0.03042      0.01084       0.04125      0.02463    0.41659    0.39196     0.10525     1203     1203
-0.03042      0.01099       0.04141      0.02463    0.42163    0.397     0.1043     1203     1203
-0.03042      0.01099       0.04141      0.02463    0.42483    0.40021     0.10346     1203     1203
-0.03042      0.01129       0.04171      0.02463    0.42727    0.40265     0.1036     1203     1203
-0.03042      0.01122       0.04164      0.02463    0.4285    0.40387     0.10309     1203     1203
-0.03042      0.01107       0.04148      0.02463    0.42972    0.40509     0.10241     1203     1203
-0.03042      0.01152       0.04194      0.02463    0.4304    0.40578     0.10336     1203     1203
-0.03042      0.01114       0.04156      0.02463    0.43139    0.40677     0.10217     1203     1203
-0.03042      0.01137       0.04179      0.02463    0.43109    0.40646     0.10281     1203     1203
-0.03042      0.01145       0.04187      0.02463    0.43185    0.40723     0.10281     1203     1203
-0.03042      0.01145       0.04187      0.02463    0.43216    0.40753     0.10273     1203     1203
-0.03042      0.01129       0.04171      0.02463    0.43277    0.40814     0.1022     1203     1203
-0.03042      0.01175       0.04217      0.02463    0.43223    0.40761     0.10346     1203     1203
-0.03042      0.01107       0.04148      0.02463    0.43284    0.40822     0.10162     1203     1203
-0.03042      0.01122       0.04164      0.02463    0.43262    0.40799     0.10205     1203     1203
-0.03042      0.01122       0.04164      0.02463    0.43307    0.40845     0.10194     1203     1203
-0.03042      0.01168       0.04209      0.02463    0.43239    0.40776     0.10323     1203     1203
-0.03042      0.01145       0.04187      0.02463    0.4333    0.40868     0.10244     1203     1203
-0.03042      0.01152       0.04194      0.02463    0.43284    0.40822     0.10274     1203     1203
-0.03042      0.01122       0.04164      0.02463    0.433    0.40837     0.10196     1203     1203
-0.03042      0.01145       0.04187      0.02463    0.43307    0.40845     0.1025     1203     1203
-0.03042      0.01129       0.04171      0.02463    0.43315    0.40852     0.10211     1203     1203
-0.03042      0.01152       0.04194      0.02463    0.43346    0.40883     0.10259     1203     1203
-0.03042      0.01145       0.04187      0.02463    0.4333    0.40868     0.10244     1203     1203
-0.03042      0.01152       0.04194      0.02463    0.43323    0.4086     0.10265     1203     1203
-0.03042      0.01145       0.04187      0.02463    0.43376    0.40913     0.10233     1203     1203
