  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03159      0.25549       0.28709      0.02404    2.5    2.47596     0.11595     1210     1211
-0.03159      0.10997       0.14156      0.02404    2.5    2.47596     0.05717     1210     1211
-0.03159      0.01778       0.04937      0.02404    0.77328    0.74923     0.0659     1210     1211
-0.03159      0.00488       0.03648      0.02404    0.22436    0.20032     0.1821     1210     1211
-0.03159      -0.02915       0.00244      0.02404    0.10478    0.08073     0.03025     1210     1211
-0.03159      -0.03022       0.00137      0.02404    0.07082    0.04678     0.02937     1210     1211
-0.03159      -0.03114       0.00046      0.02404    0.05739    0.03334     0.01373     1210     1211
-0.03159      -0.03106       0.00053      0.02404    0.05082    0.02678     0.01995     1210     1211
-0.03159      -0.0306       0.00099      0.02404    0.04686    0.02281     0.04349     1210     1211
-0.03159      -0.03144       0.00015      0.02404    0.0435    0.01946     0.00784     1210     1211
-0.03159      -0.03129       0.00031      0.02404    0.04129    0.01724     0.0177     1210     1211
-0.03159      -0.03091       0.00069      0.02404    0.03968    0.01564     0.04391     1210     1211
-0.03159      -0.03159       0.0      0.02404    0.03846    0.01442     0.0     1210     1211
-0.03159      -0.03075       0.00084      0.02404    0.03732    0.01327     0.06324     1210     1211
-0.03159      -0.03167       -8e-05      0.02404    0.03655    0.01251     -0.0061     1210     1211
-0.03159      -0.03129       0.00031      0.02404    0.03533    0.01129     0.02704     1210     1211
-0.03159      -0.03098       0.00061      0.02404    0.03426    0.01022     0.05972     1210     1211
-0.03159      -0.03167       -8e-05      0.02404    0.03411    0.01007     -0.00758     1210     1211
-0.03159      -0.03136       0.00023      0.02404    0.03358    0.00954     0.02401     1210     1211
-0.03159      -0.03098       0.00061      0.02404    0.03289    0.00885     0.069     1210     1211
-0.03159      -0.03121       0.00038      0.02404    0.03213    0.00809     0.04719     1210     1211
-0.03159      -0.03152       8e-05      0.02404    0.03175    0.0077     0.00991     1210     1211
-0.03159      -0.03182       -0.00023      0.02404    0.0319    0.00786     -0.02914     1210     1211
-0.03159      -0.03167       -8e-05      0.02404    0.03129    0.00725     -0.01053     1210     1211
-0.03159      -0.03121       0.00038      0.02404    0.03083    0.00679     0.05621     1210     1211
-0.03159      -0.0319       -0.00031      0.02404    0.02946    0.00541     -0.05638     1210     1211
-0.03159      -0.03152       8e-05      0.02404    0.02892    0.00488     0.01564     1210     1211
-0.03159      -0.03106       0.00053      0.02404    0.02839    0.00435     0.12291     1210     1211
-0.03159      -0.03197       -0.00038      0.02404    0.02808    0.00404     -0.09443     1210     1211
-0.03159      -0.03175       -0.00015      0.02404    0.02877    0.00473     -0.03228     1210     1211
