  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.02885       0.02686
-0.03022       0.02488
-0.03022       0.02511
-0.03053       0.02488
-0.03045       0.02495
-0.0303       0.02503
-0.03083       0.0245
-0.0306       0.02526
-0.03007       0.02473
-0.03121       0.02518
-0.03083       0.02511
-0.03053       0.02526
-0.0303       0.02495
-0.03068       0.02503
-0.03091       0.02503
-0.0303       0.02488
-0.03014       0.02518
-0.03098       0.02488
-0.03037       0.0248
-0.03037       0.02495
  ----------------------------------------------------------
 Vzero = -0.03043       Izero = 0.02507
  ---------------------------------------------------------- 
