  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.00247      -0.26404       -0.26651      -0.02133    0.22642    0.24775     -1.07573     518     355
0.00247      -0.01595       -0.01842      -0.02133    -0.00572    0.01561     -1.18023     1253     1257
0.00247      -0.01595       -0.01842      -0.02133    -0.00595    0.01538     -1.1978     1253     1257
0.00247      -0.01496       -0.01743      -0.02133    -0.00694    0.01439     -1.21144     1253     1257
0.00247      -0.01549       -0.01796      -0.02133    -0.00717    0.01416     -1.26876     1253     1257
0.00247      -0.01519       -0.01766      -0.02133    -0.00641    0.01492     -1.18341     1253     1257
0.00247      -0.01656       -0.01903      -0.02133    -0.00626    0.01507     -1.26256     1253     1257
0.00247      -0.01549       -0.01796      -0.02133    -0.0058    0.01553     -1.15654     1253     1257
0.00247      -0.01641       -0.01888      -0.02133    -0.00603    0.0153     -1.23369     1253     1257
0.00247      -0.01542       -0.01789      -0.02133    -0.00717    0.01416     -1.26337     1253     1257
0.00247      -0.01587       -0.01834      -0.02133    -0.00626    0.01507     -1.21699     1253     1257
0.00247      -0.01442       -0.01689      -0.02133    -0.00565    0.01568     -1.07717     1253     1257
0.00247      -0.0161       -0.01857      -0.02133    -0.0071    0.01423     -1.30485     1253     1257
0.00247      -0.01465       -0.01712      -0.02133    -0.00641    0.01492     -1.14761     1253     1257
0.00247      -0.01564       -0.01812      -0.02133    -0.00733    0.014     -1.29348     1253     1257
0.00247      -0.01618       -0.01865      -0.02133    -0.00549    0.01584     -1.17762     1253     1257
0.00247      -0.0158       -0.01827      -0.02133    -0.00588    0.01545     -1.18201     1253     1257
0.00247      -0.01587       -0.01834      -0.02133    -0.00649    0.01484     -1.23576     1253     1257
0.00247      -0.0145       -0.01697      -0.02133    -0.00527    0.01607     -1.05634     1253     1257
0.00247      -0.01557       -0.01804      -0.02133    -0.00588    0.01545     -1.16719     1253     1257
0.00247      -0.0161       -0.01857      -0.02133    -0.00656    0.01477     -1.25765     1253     1257
0.00247      -0.01564       -0.01812      -0.02133    -0.00664    0.01469     -1.23301     1253     1257
0.00247      -0.01564       -0.01812      -0.02133    -0.00595    0.01538     -1.17795     1253     1257
0.00247      -0.01442       -0.01689      -0.02133    -0.00603    0.0153     -1.10403     1253     1257
0.00247      -0.0158       -0.01827      -0.02133    -0.0058    0.01553     -1.1762     1253     1257
0.00247      -0.01549       -0.01796      -0.02133    -0.0058    0.01553     -1.15654     1253     1257
0.00247      -0.01473       -0.0172      -0.02133    -0.00679    0.01454     -1.18297     1253     1257
