  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.0034      -0.26404       -0.26744      -0.01949    0.22642    0.24591     -1.08754     518     355
0.0034      -0.01351       -0.01691      -0.01949    -0.00443    0.01507     -1.12206     1271     1277
0.0034      -0.01366       -0.01706      -0.01949    -0.00611    0.01339     -1.27415     1271     1277
0.0034      -0.01358       -0.01698      -0.01949    -0.00557    0.01392     -1.21979     1271     1277
0.0034      -0.01381       -0.01721      -0.01949    -0.00595    0.01354     -1.27106     1271     1277
0.0034      -0.01397       -0.01736      -0.01949    -0.00672    0.01278     -1.35891     1271     1277
0.0034      -0.01374       -0.01714      -0.01949    -0.00557    0.01392     -1.23075     1271     1277
0.0034      -0.01389       -0.01729      -0.01949    -0.00588    0.01362     -1.26954     1271     1277
0.0034      -0.01389       -0.01729      -0.01949    -0.00626    0.01324     -1.30614     1271     1277
0.0034      -0.01343       -0.01683      -0.01949    -0.00595    0.01354     -1.24289     1271     1277
0.0034      -0.01351       -0.01691      -0.01949    -0.00542    0.01408     -1.20114     1271     1277
0.0034      -0.01335       -0.01675      -0.01949    -0.0058    0.01369     -1.22346     1271     1277
0.0034      -0.01397       -0.01736      -0.01949    -0.00534    0.01415     -1.22702     1271     1277
0.0034      -0.01381       -0.01721      -0.01949    -0.00611    0.01339     -1.28555     1271     1277
0.0034      -0.01381       -0.01721      -0.01949    -0.00481    0.01469     -1.17199     1271     1277
0.0034      -0.01366       -0.01706      -0.01949    -0.00618    0.01331     -1.28146     1271     1277
0.0034      -0.01389       -0.01729      -0.01949    -0.00473    0.01476     -1.1711     1271     1277
0.0034      -0.01374       -0.01714      -0.01949    -0.00641    0.01308     -1.30971     1271     1277
0.0034      -0.01358       -0.01698      -0.01949    -0.00557    0.01392     -1.21979     1271     1277
0.0034      -0.01366       -0.01706      -0.01949    -0.00488    0.01461     -1.16767     1271     1277
0.0034      -0.01366       -0.01706      -0.01949    -0.00611    0.01339     -1.27415     1271     1277
0.0034      -0.01366       -0.01706      -0.01949    -0.00557    0.01392     -1.22527     1271     1277
0.0034      -0.01366       -0.01706      -0.01949    -0.00588    0.01362     -1.25273     1271     1277
0.0034      -0.01366       -0.01706      -0.01949    -0.00519    0.0143     -1.19258     1271     1277
0.0034      -0.01351       -0.01691      -0.01949    -0.00527    0.01423     -1.18825     1271     1277
