  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.0054      -0.26404       -0.26944      -0.01935    0.22642    0.24577     -1.09631     518     355
0.0054      -0.01351       -0.01891      -0.01935    -0.00267    0.01668     -1.13345     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00321    0.01615     -1.17568     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00343    0.01592     -1.20218     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00351    0.01584     -1.19833     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00336    0.01599     -1.19644     1295     1302
0.0054      -0.0132       -0.0186      -0.01935    -0.00374    0.01561     -1.19147     1295     1302
0.0054      -0.01351       -0.01891      -0.01935    -0.00351    0.01584     -1.19352     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00259    0.01676     -1.13284     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00305    0.0163     -1.16467     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00366    0.01569     -1.21972     1295     1302
0.0054      -0.01397       -0.01936      -0.01935    -0.00244    0.01691     -1.14518     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00336    0.01599     -1.20121     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00298    0.01638     -1.16856     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00359    0.01576     -1.20897     1295     1302
0.0054      -0.01389       -0.01929      -0.01935    -0.00336    0.01599     -1.20598     1295     1302
0.0054      -0.01351       -0.01891      -0.01935    -0.00366    0.01569     -1.20513     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00336    0.01599     -1.19644     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00336    0.01599     -1.19167     1295     1302
0.0054      -0.01343       -0.01883      -0.01935    -0.00313    0.01622     -1.16074     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00343    0.01592     -1.19738     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00259    0.01676     -1.1374     1295     1302
0.0054      -0.01343       -0.01883      -0.01935    -0.00351    0.01584     -1.1887     1295     1302
0.0054      -0.01389       -0.01929      -0.01935    -0.00351    0.01584     -1.2176     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00252    0.01683     -1.12771     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00343    0.01592     -1.19259     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00359    0.01576     -1.21866     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00343    0.01592     -1.19738     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00305    0.0163     -1.17872     1295     1302
0.0054      -0.01343       -0.01883      -0.01935    -0.00321    0.01615     -1.16623     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00298    0.01638     -1.16856     1295     1302
0.0054      -0.01397       -0.01936      -0.01935    -0.00374    0.01561     -1.24035     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00336    0.01599     -1.19167     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00366    0.01569     -1.21972     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00328    0.01607     -1.18126     1295     1302
0.0054      -0.01389       -0.01929      -0.01935    -0.00328    0.01607     -1.20026     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00336    0.01599     -1.19644     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.00359    0.01576     -1.21382     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00359    0.01576     -1.20413     1295     1302
0.0054      -0.01351       -0.01891      -0.01935    -0.00336    0.01599     -1.18213     1295     1302
0.0054      -0.01351       -0.01891      -0.01935    -0.00275    0.0166     -1.13866     1295     1302
0.0054      -0.01351       -0.01891      -0.01935    -0.00313    0.01622     -1.16544     1295     1302
0.0054      -0.01335       -0.01875      -0.01935    -0.00366    0.01569     -1.1954     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00389    0.01546     -1.22791     1295     1302
0.0054      -0.01313       -0.01852      -0.01935    -0.00359    0.01576     -1.17509     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00343    0.01592     -1.19738     1295     1302
0.0054      -0.01335       -0.01875      -0.01935    -0.00374    0.01561     -1.20124     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00267    0.01668     -1.15175     1295     1302
0.0054      -0.01328       -0.01868      -0.01935    -0.00366    0.01569     -1.19053     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00275    0.0166     -1.15705     1295     1302
0.0054      -0.01374       -0.01914      -0.01935    -0.0029    0.01645     -1.16314     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00321    0.01615     -1.1804     1295     1302
0.0054      -0.01351       -0.01891      -0.01935    -0.00366    0.01569     -1.20513     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00321    0.01615     -1.18986     1295     1302
0.0054      -0.01351       -0.01891      -0.01935    -0.00328    0.01607     -1.17651     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00252    0.01683     -1.14131     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00359    0.01576     -1.20413     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00321    0.01615     -1.18986     1295     1302
0.0054      -0.01389       -0.01929      -0.01935    -0.00351    0.01584     -1.2176     1295     1302
0.0054      -0.01389       -0.01929      -0.01935    -0.00313    0.01622     -1.18896     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00351    0.01584     -1.19833     1295     1302
0.0054      -0.01335       -0.01875      -0.01935    -0.00366    0.01569     -1.1954     1295     1302
0.0054      -0.01381       -0.01921      -0.01935    -0.00305    0.0163     -1.17872     1295     1302
0.0054      -0.01335       -0.01875      -0.01935    -0.00374    0.01561     -1.20124     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00343    0.01592     -1.19259     1295     1302
0.0054      -0.01358       -0.01898      -0.01935    -0.00313    0.01622     -1.17015     1295     1302
0.0054      -0.01343       -0.01883      -0.01935    -0.00298    0.01638     -1.14992     1295     1302
0.0054      -0.01366       -0.01906      -0.01935    -0.00397    0.01538     -1.23896     1295     1302
