  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.00418      -0.26404       -0.26823      -0.02142    0.22642    0.24784     -1.08225     518     355
0.00418      -0.32311       -0.32729      -0.02142    0.22581    0.24723     -1.32383     160     3328
0.00418      -0.01603       -0.02021      -0.02142    -0.00527    0.01616     -1.25085     1235     1252
0.00418      -0.0177       -0.02189      -0.02142    -0.00443    0.017     -1.28785     1235     1252
0.00418      -0.01656       -0.02074      -0.02142    -0.00427    0.01715     -1.20964     1235     1252
0.00418      -0.01664       -0.02082      -0.02142    -0.00488    0.01654     -1.25891     1235     1252
0.00418      -0.01488       -0.01907      -0.02142    -0.00557    0.01585     -1.20272     1235     1252
0.00418      -0.01313       -0.01731      -0.02142    -0.00504    0.01639     -1.0564     1235     1252
0.00418      -0.01656       -0.02074      -0.02142    -0.00466    0.01677     -1.23717     1235     1252
0.00418      -0.01732       -0.02151      -0.02142    -0.00511    0.01631     -1.31869     1235     1252
0.00418      -0.01687       -0.02105      -0.02142    -0.00542    0.016     -1.31523     1235     1252
0.00418      -0.01648       -0.02067      -0.02142    -0.00466    0.01677     -1.23261     1235     1252
0.00418      -0.01274       -0.01693      -0.02142    -0.00458    0.01684     -1.00503     1235     1252
0.00418      -0.01633       -0.02052      -0.02142    -0.00496    0.01646     -1.2462     1235     1252
0.00418      -0.01633       -0.02052      -0.02142    -0.00466    0.01677     -1.22351     1235     1252
0.00418      -0.01679       -0.02097      -0.02142    -0.00473    0.01669     -1.25654     1235     1252
0.00418      -0.01419       -0.01838      -0.02142    -0.00481    0.01661     -1.10615     1235     1252
0.00418      -0.0119       -0.01609      -0.02142    -0.00458    0.01684     -0.95519     1235     1252
0.00418      -0.01732       -0.02151      -0.02142    -0.00466    0.01677     -1.28268     1235     1252
0.00418      -0.01633       -0.02052      -0.02142    -0.00473    0.01669     -1.22911     1235     1252
0.00418      -0.01557       -0.01975      -0.02142    -0.0045    0.01692     -1.16737     1235     1252
0.00418      -0.01274       -0.01693      -0.02142    -0.00519    0.01623     -1.04283     1235     1252
0.00418      -0.01694       -0.02113      -0.02142    -0.00473    0.01669     -1.26568     1235     1252
0.00418      -0.01664       -0.02082      -0.02142    -0.00488    0.01654     -1.25891     1235     1252
0.00418      -0.01595       -0.02013      -0.02142    -0.00481    0.01661     -1.21179     1235     1252
0.00418      -0.01252       -0.0167      -0.02142    -0.00481    0.01661     -1.0051     1235     1252
0.00418      -0.0158       -0.01998      -0.02142    -0.00473    0.01669     -1.1971     1235     1252
0.00418      -0.01633       -0.02052      -0.02142    -0.00473    0.01669     -1.22911     1235     1252
0.00418      -0.01702       -0.0212      -0.02142    -0.00458    0.01684     -1.25874     1235     1252
0.00418      -0.01595       -0.02013      -0.02142    -0.00458    0.01684     -1.19532     1235     1252
0.00418      -0.01381       -0.018      -0.02142    -0.00519    0.01623     -1.10864     1235     1252
0.00418      -0.0158       -0.01998      -0.02142    -0.00511    0.01631     -1.22511     1235     1252
0.00418      -0.01755       -0.02174      -0.02142    -0.00443    0.017     -1.27887     1235     1252
0.00418      -0.01679       -0.02097      -0.02142    -0.00427    0.01715     -1.22299     1235     1252
0.00418      -0.01648       -0.02067      -0.02142    -0.00504    0.01639     -1.26132     1235     1252
0.00418      -0.0158       -0.01998      -0.02142    -0.00473    0.01669     -1.1971     1235     1252
0.00418      -0.01221       -0.01639      -0.02142    -0.00488    0.01654     -0.99128     1235     1252
0.00418      -0.01549       -0.01968      -0.02142    -0.0042    0.01723     -1.14226     1235     1252
0.00418      -0.01633       -0.02052      -0.02142    -0.00435    0.01707     -1.20164     1235     1252
0.00418      -0.01709       -0.02128      -0.02142    -0.00443    0.017     -1.25193     1235     1252
0.00418      -0.01641       -0.02059      -0.02142    -0.00458    0.01684     -1.2225     1235     1252
0.00418      -0.01671       -0.0209      -0.02142    -0.00466    0.01677     -1.24627     1235     1252
0.00418      -0.01648       -0.02067      -0.02142    -0.00511    0.01631     -1.26722     1235     1252
0.00418      -0.01671       -0.0209      -0.02142    -0.00481    0.01661     -1.25772     1235     1252
0.00418      -0.01564       -0.01983      -0.02142    -0.00473    0.01669     -1.18796     1235     1252
0.00418      -0.01404       -0.01823      -0.02142    -0.00473    0.01669     -1.09194     1235     1252
0.00418      -0.01374       -0.01792      -0.02142    -0.00473    0.01669     -1.07366     1235     1252
0.00418      -0.01274       -0.01693      -0.02142    -0.00473    0.01669     -1.01422     1235     1252
0.00418      -0.01267       -0.01685      -0.02142    -0.00481    0.01661     -1.01428     1235     1252
0.00418      -0.0116       -0.01578      -0.02142    -0.00542    0.016     -0.98622     1235     1252
0.00418      -0.0119       -0.01609      -0.02142    -0.00473    0.01669     -0.96393     1235     1252
0.00418      -0.01542       -0.0196      -0.02142    -0.00458    0.01684     -1.1636     1235     1252
0.00418      -0.01542       -0.0196      -0.02142    -0.0045    0.01692     -1.15835     1235     1252
0.00418      -0.01603       -0.02021      -0.02142    -0.00466    0.01677     -1.20531     1235     1252
0.00418      -0.01557       -0.01975      -0.02142    -0.00481    0.01661     -1.18882     1235     1252
0.00418      -0.01618       -0.02036      -0.02142    -0.00549    0.01593     -1.27841     1235     1252
0.00418      -0.01572       -0.0199      -0.02142    -0.00511    0.01631     -1.22043     1235     1252
0.00418      -0.01557       -0.01975      -0.02142    -0.00481    0.01661     -1.18882     1235     1252
0.00418      -0.0116       -0.01578      -0.02142    -0.00527    0.01616     -0.9769     1235     1252
0.00418      -0.01236       -0.01655      -0.02142    -0.00466    0.01677     -0.98685     1235     1252
0.00418      -0.01282       -0.017      -0.02142    -0.00458    0.01684     -1.00956     1235     1252
0.00418      -0.01465       -0.01884      -0.02142    -0.00488    0.01654     -1.13894     1235     1252
0.00418      -0.0158       -0.01998      -0.02142    -0.00488    0.01654     -1.20815     1235     1252
0.00418      -0.01709       -0.02128      -0.02142    -0.00466    0.01677     -1.26902     1235     1252
0.00418      -0.01664       -0.02082      -0.02142    -0.00458    0.01684     -1.23609     1235     1252
0.00418      -0.01648       -0.02067      -0.02142    -0.00458    0.01684     -1.22703     1235     1252
0.00418      -0.01725       -0.02143      -0.02142    -0.00473    0.01669     -1.28397     1235     1252
0.00418      -0.01587       -0.02006      -0.02142    -0.00481    0.01661     -1.20719     1235     1252
0.00418      -0.01252       -0.0167      -0.02142    -0.00466    0.01677     -0.99595     1235     1252
0.00418      -0.01587       -0.02006      -0.02142    -0.00496    0.01646     -1.21838     1235     1252
0.00418      -0.01687       -0.02105      -0.02142    -0.00488    0.01654     -1.27275     1235     1252
0.00418      -0.0161       -0.02029      -0.02142    -0.00466    0.01677     -1.20986     1235     1252
0.00418      -0.01633       -0.02052      -0.02142    -0.00481    0.01661     -1.23475     1235     1252
0.00418      -0.0129       -0.01708      -0.02142    -0.00458    0.01684     -1.01409     1235     1252
0.00418      -0.0161       -0.02029      -0.02142    -0.0045    0.01692     -1.19894     1235     1252
0.00418      -0.01664       -0.02082      -0.02142    -0.0045    0.01692     -1.23052     1235     1252
0.00418      -0.01656       -0.02074      -0.02142    -0.00473    0.01669     -1.24282     1235     1252
0.00418      -0.01152       -0.01571      -0.02142    -0.00466    0.01677     -0.93678     1235     1252
0.00418      -0.01664       -0.02082      -0.02142    -0.00458    0.01684     -1.23609     1235     1252
0.00418      -0.01641       -0.02059      -0.02142    -0.00458    0.01684     -1.2225     1235     1252
0.00418      -0.01564       -0.01983      -0.02142    -0.00458    0.01684     -1.17719     1235     1252
0.00418      -0.01519       -0.01937      -0.02142    -0.00534    0.01608     -1.20458     1235     1252
0.00418      -0.01679       -0.02097      -0.02142    -0.00511    0.01631     -1.28593     1235     1252
0.00418      -0.01694       -0.02113      -0.02142    -0.00466    0.01677     -1.25992     1235     1252
0.00418      -0.01252       -0.0167      -0.02142    -0.00488    0.01654     -1.00974     1235     1252
0.00418      -0.01671       -0.0209      -0.02142    -0.00458    0.01684     -1.24062     1235     1252
0.00418      -0.01679       -0.02097      -0.02142    -0.00488    0.01654     -1.26813     1235     1252
0.00418      -0.01664       -0.02082      -0.02142    -0.00488    0.01654     -1.25891     1235     1252
0.00418      -0.01305       -0.01723      -0.02142    -0.00481    0.01661     -1.03725     1235     1252
0.00418      -0.01671       -0.0209      -0.02142    -0.00458    0.01684     -1.24062     1235     1252
0.00418      -0.01694       -0.02113      -0.02142    -0.00481    0.01661     -1.2715     1235     1252
0.00418      -0.01267       -0.01685      -0.02142    -0.00481    0.01661     -1.01428     1235     1252
0.00418      -0.01664       -0.02082      -0.02142    -0.00504    0.01639     -1.27063     1235     1252
0.00418      -0.01236       -0.01655      -0.02142    -0.00488    0.01654     -1.00051     1235     1252
0.00418      -0.01664       -0.02082      -0.02142    -0.00473    0.01669     -1.24739     1235     1252
